Card Name,Set Name,Normal Price (USD),Foil Price (USD)
Hardy Outlander,Commander Legends: Battle for Baldur's Gate,0.04,0.08
Hardy Veteran,Rivals of Ixalan,0.02,0.15
Hare Apparent,Foundations,4.86,4.78
"Hargilde, Kindly Runechanter",Universes Within,0.27,
Harmattan Efreet,Classic Sixth Edition,0.10,
Harmless Assault,Rise of the Eldrazi,0.12,0.46
Harmless Offering,Foundations,0.86,
Harmonic Convergence,Urza's Legacy,0.30,5.19
Harmonic Prodigy,Modern Horizons 2,3.08,5.15
Harmonic Sliver,Commander Masters,0.43,
Harmonious Archon,Throne of Eldraine,0.21,0.43
Harmonious Emergence,Kamigawa: Neon Dynasty,0.02,0.10
Harmonize,Duskmourn: House of Horror Commander,0.18,
Harmony of Nature,Portal Second Age,2.91,
Harm's Way,Duel Decks: Knights vs. Dragons,0.09,
Harness by Force,Journey into Nyx,0.23,0.62
Harnessed Lightning,Kaladesh,0.17,0.86
Harnessed Snubhorn,March of the Machine: The Aftermath,0.04,0.07
Harnesser of Storms,Bloomburrow,0.12,0.11
Harness Infinity,Strixhaven: School of Mages,0.26,0.92
Harness the Storm,Shadows over Innistrad,0.20,0.85
"Harold and Bob, First Numens",Fallout,0.12,0.33
Harper Recruiter,Commander Legends: Battle for Baldur's Gate,0.09,
Harpoon Sniper,Lorwyn,0.21,0.77
Harried Artisan // Phyrexian Skyflayer,March of the Machine,0.02,0.02
Harried Dronesmith,Murders at Karlov Manor,0.03,0.06
Harried Spearguard,Wilds of Eldraine,0.02,0.07
Harrier Griffin,Guildpact,0.11,0.36
Harrier Naga,Hour of Devastation,0.03,0.20
Harrier Strix,Outlaws of Thunder Junction,0.03,0.15
Harrow,Duskmourn: House of Horror Commander,0.39,
Harrowing Journey,Dark Ascension,0.04,0.46
Harsh Deceiver,Champions of Kamigawa,0.07,0.25
Harsh Judgment,Invasion,0.24,3.77
Harsh Justice,Masters Edition IV,,
Harsh Mentor,Duskmourn: House of Horror Commander,0.24,
Harsh Mercy,Commander Masters,0.24,
Harsh Scrutiny,Kaladesh,0.05,0.31
Harsh Sustenance,Fate Reforged,0.05,0.42
Haru-Onna,Saviors of Kamigawa,0.31,9.81
Haruspex,"Warhammer 40,000 Commander",0.23,
Harvester Druid,Judgment,0.17,0.83
Harvester of Misery,The Big Score,7.54,9.16
Harvester of Souls,Jumpstart,1.87,
Harvester Troll,Oath of the Gatewatch,0.11,
Harvestguard Alseids,Journey into Nyx,0.09,0.40
Harvest Gwyllion,Eventide,0.07,
Harvest Hand // Scrounged Scythe,Shadows over Innistrad,0.09,0.41
Harvest Mage,Nemesis,0.13,15.93
Harvest Pyre,Innistrad,0.06,0.52
Harvestrite Host,Bloomburrow,0.07,0.12
Harvest Season,Kaldheim Commander,1.36,
Harvesttide Infiltrator // Harvesttide Assailant,Innistrad: Midnight Hunt,0.02,0.04
Harvesttide Sentry,Innistrad: Midnight Hunt,0.02,0.02
Harvest Wurm,Weatherlight,0.22,
Hashep Oasis,Outlaws of Thunder Junction Commander,0.10,
Hasran Ogress,Masters Edition IV,,
Hatchery Sliver,Commander Masters,1.87,
Hatchery Spider,Guilds of Ravnica,0.31,0.97
Hatchet Bully,Eventide,0.18,0.30
Hatching Plans,Guildpact,0.37,0.94
Hateflayer,Eventide,1.34,11.32
Hateful Eidolon,Theros Beyond Death,0.15,0.48
Hate Mirage,Commander 2019,0.05,
Hate Weaver,Tenth Edition,0.25,0.69
Hatred,Exodus,42.37,
Haughty Djinn,Outlaws of Thunder Junction Commander,3.83,
Haunted Angel,Apocalypse,0.30,3.25
Haunted Cadaver,Onslaught,0.15,0.45
Haunted Cloak,Commander Masters,0.21,0.36
Haunted Crossroads,Mercadian Masques,3.48,19.95
Haunted Dead,Eldritch Moon,0.08,1.58
Haunted Fengraf,Commander 2018,0.24,
Haunted Guardian,Avacyn Restored,0.05,0.26
Haunted House,Unfinity,0.30,1.34
Haunted Library,Crimson Vow Commander,0.45,
Haunted Mire,Dominaria United,0.25,0.98
Haunted One,Commander Legends: Battle for Baldur's Gate,,7.53
Haunted Plate Mail,Magic 2015,0.19,0.48
Haunted Ridge,Innistrad: Midnight Hunt,5.27,4.99
Haunted Screen,Duskmourn: House of Horror,0.05,0.09
Haunter of Nightveil,Dragon's Maze,0.07,0.25
Haunting Apparition,Mirage,0.18,
Haunting Echoes,Magic 2011,0.29,0.70
Haunting Figment,Dominaria United,0.07,0.02
Haunting Hymn,Iconic Masters,0.06,0.17
Haunting Imitation,Crimson Vow Commander,0.12,
Haunting Misery,Weatherlight,0.24,
Haunting Voyage,Kaldheim,5.32,4.76
Haunting Wind,Antiquities,15.23,
Haunt of the Dead Marshes,The Lord of the Rings: Tales of Middle-earth,0.04,0.13
Hauntwoods Shrieker,Duskmourn: House of Horror,2.34,2.67
Havengul Laboratory // Havengul Mystery,Universes Within,0.47,
Havengul Lich,Commander 2017,1.07,
Havengul Runebinder,Midnight Hunt Commander,0.10,
Havengul Skaab,Avacyn Restored,0.02,0.12
Havengul Vampire,Conspiracy: Take the Crown,0.09,1.23
Haven of the Spirit Dragon,Forgotten Realms Commander,6.72,
Havenwood Battleground,Commander Anthology,0.26,
Havenwood Wurm,Time Spiral,0.12,0.50
"Havi, the All-Father",Assassin's Creed,0.38,0.36
Havoc,Tempest,0.19,
Havoc Demon,Eternal Masters,0.20,0.47
Havoc Devils,Core Set 2019,0.04,
Havoc Eater,Murders at Karlov Manor Commander,0.13,
Havoc Festival,Return to Ravnica,0.32,1.86
Havoc Jester,Ravnica: Clue Edition,0.12,
Havoc Sower,Oath of the Gatewatch,0.06,0.42
Hawkeater Moth,Urza's Saga,0.28,
Haystack,Assassin's Creed,0.28,0.36
Haytham Kenway,Assassin's Creed,0.36,0.39
Haywire Mite,Duskmourn: House of Horror Commander,1.08,
Hazardous Blast,Phyrexia: All Will Be One,0.05,0.15
Hazardous Conditions,Kaladesh,0.02,0.40
Hazardroot Herbalist,Bloomburrow,0.06,0.06
Hazduhr the Abbot,Homelands,0.43,
Haze Frog,Rise of the Eldrazi,0.30,4.27
Hazel of the Rootbloom,Bloomburrow Commander,6.73,7.24
Hazel's Brewmaster,Bloomburrow Commander,10.35,
Hazel's Nocturne,Bloomburrow,0.10,0.13
Haze of Pollen,Amonkhet,0.08,0.43
Haze of Rage,Time Spiral Remastered,0.71,4.14
Hazerider Drake,Mirage,0.26,
"Hazezon, Shaper of Sand",Outlaws of Thunder Junction Commander,0.10,
Hazezon Tamar,Masters Edition III,,
Hazoret's Favor,Amonkhet,0.12,0.17
Hazoret's Monument,Dominaria United Commander,0.57,
Hazoret's Undying Fury,Hour of Devastation,0.11,0.29
Hazoret the Fervent,Amonkhet,1.10,4.90
Hazy Homunculus,Prophecy,0.08,0.99
Head Games,Tenth Edition,1.76,19.27
Headhunter,Onslaught,0.18,1.20
Headless Horseman,Legends,1.61,
Headless Rider,Innistrad: Crimson Vow,2.27,1.31
Headless Skaab,Dark Ascension,0.03,0.49
Headless Specter,Modern Horizons,0.06,0.35
Headliner Scarlett,Ravnica: Clue Edition,1.82,
Headlong Rush,Urza's Saga,0.15,
Head of the Homestead,Bloomburrow,0.02,0.05
Headsplitter,Assassin's Creed,0.10,
Headstone,Homelands,0.20,
Headstrong Brute,Ixalan,0.04,0.25
Headwater Sentries,Ixalan,0.03,0.08
Heal,Masters Edition III,,
Healer of the Glade,Core Set 2020,0.10,0.50
Healer of the Pride,Magic 2013,0.20,3.92
Healer's Flock,Modern Horizons 2,0.04,0.15
Healer's Hawk,Foundations,0.06,0.07
Healer's Headdress,Fifth Dawn,0.12,0.24
Healing Grace,Dominaria,0.06,0.19
Healing Hands,Magic Origins,0.05,0.30
Healing Leaves,Planar Chaos,0.17,2.75
Healing Salve,Duel Decks Anthology: Divine vs. Demonic,0.27,
Healing Technique,Commander 2021,0.17,
Heal the Scars,Lorwyn,0.15,
Heap Doll,Ultimate Masters,0.24,0.60
Heaped Harvest,Bloomburrow,0.11,0.21
Heap Gate,Commander Legends: Battle for Baldur's Gate,0.17,3.79
Heartbeat of Spring,Double Masters,3.21,3.64
Heartfire,Jumpstart,0.05,
Heartfire Hero,Bloomburrow,2.34,3.45
Heartfire Immolator,Foundations,0.04,0.06
Heartflame Duelist // Heartflame Slash,Wilds of Eldraine,0.12,0.20
Hearthborn Battler,Bloomburrow,0.20,0.22
Hearthcage Giant,Lorwyn,0.16,0.75
Hearth Charm,Visions,0.23,
Hearth Elemental // Stoke Genius,Wilds of Eldraine,0.03,0.07
Hearthfire Hobgoblin,Modern Masters 2015,0.07,0.69
Hearth Kami,Champions of Kamigawa,0.09,0.48
Heartlash Cinder,Eventide,0.20,0.36
Heartless Act,Commander Masters,0.15,0.25
Heartless Conscription,Outlaws of Thunder Junction Commander,0.56,
Heartless Hidetsugu,Commander Masters,1.64,2.19
Heartless Pillage,Double Masters,0.03,0.11
Heartless Summoning,Innistrad,4.04,13.19
Heartmender,Shadowmoor,0.55,3.77
Heart of Bogardan,Weatherlight,0.88,
Heart of Kiran,Aether Revolt,0.32,1.30
Heart of Light,Tenth Edition,0.23,
Heart of Ramos,Mercadian Masques,2.23,23.49
Heart of Yavimaya,Masters Edition II,,
Heart-Piercer Bow,Commander Masters,0.02,0.08
Heart-Piercer Manticore,Commander 2019,0.08,
Heartseeker,Darksteel,1.72,11.25
Heart Sliver,Tempest,1.21,
Hearts on Fire,Foundations Jumpstart,0.14,
Heartstabber Mosquito,Duel Decks: Zendikar vs. Eldrazi,0.09,
Heartstone,Stronghold,2.56,
Heart Warden,Urza's Destiny,0.23,4.78
Heartwarming Redemption,War of the Spark,0.10,0.81
Heart Wolf,Homelands,0.69,
Heartwood Dryad,Tempest Remastered,,
Heartwood Giant,Tempest Remastered,,
Heartwood Shard,Mirrodin,0.11,0.44
Heartwood Storyteller,Time Spiral Remastered,1.99,2.52
Heartwood Treefolk,Tempest,0.23,
Heated Debate,Strixhaven: School of Mages,0.03,0.07
Heat of Battle,Stronghold,0.23,
Heat Ray,Iconic Masters,0.03,0.25
Heat Shimmer,Double Masters,6.06,13.33
Heat Stroke,Weatherlight,2.78,
Heat Wave,Visions,0.22,
Heaven // Earth,Outlaws of Thunder Junction Commander,0.06,
Heavenly Blademaster,Commander Masters,0.14,0.33
Heavenly Qilin,Global Series Jiang Yanggu & Mu Yanling,0.15,
Heaven Sent,Doctor Who,0.12,1.32
Heaven's Gate,Legends,11.12,
Heavy Arbalest,Masters 25,0.14,0.33
Heavy Ballista,Seventh Edition,0.15,
Heavy Fog,Masters Edition III,,
Heavy Infantry,Magic Origins,0.04,
Heavy Mattock,Dark Ascension,0.11,0.25
Heavyweight Demolisher,The Brothers' War,0.04,0.05
Hecatomb,Masters Edition,,
Heckling Fiends,Conspiracy,0.05,
Hedge Maze,Murders at Karlov Manor,10.83,12.25
Hedge Shredder,Duskmourn: House of Horror,1.58,1.56
Hedge Troll,Planar Chaos,0.09,0.50
Hedge Whisperer,Murders at Karlov Manor,0.01,0.04
Hedgewitch's Mask,Innistrad: Midnight Hunt,0.02,0.08
Hedonist's Trove,Commander 2019,0.10,
Hedron Alignment,Oath of the Gatewatch,0.12,0.75
Hedron Archive,Foundations,,0.13
Hedron Blade,Battle for Zendikar,0.07,0.22
Hedron Crab,Zendikar,8.28,30.29
Hedron Crawler,Oath of the Gatewatch,0.22,2.29
Hedron Detonator,March of the Machine Commander,1.50,
Hedron-Field Purists,Rise of the Eldrazi,0.24,0.75
Hedron Matrix,Conspiracy: Take the Crown,0.49,1.51
Hedron Rover,Worldwake,0.16,0.26
Hedron Scrabbler,Zendikar,0.15,0.33
Heedless One,Duel Decks Anthology: Elves vs. Goblins,1.64,
Heed the Mists,Betrayers of Kamigawa,0.36,0.48
"Heidar, Rimewind Master",Coldsnap,0.34,23.99
Heightened Awareness,Prophecy,0.40,6.99
Heightened Reflexes,Ikoria: Lair of Behemoths,0.02,0.12
"Heiko Yamazaki, the General",Kamigawa: Neon Dynasty,0.06,0.10
Heirloom Blade,The Lost Caverns of Ixalan Commander,0.10,
Heirloom Epic,Bloomburrow,0.06,0.09
Heirloom Mirror // Inherited Fiend,Innistrad: Midnight Hunt,0.07,0.09
Heir of Falkenrath // Heir to the Night,Shadows over Innistrad,0.12,0.81
Heir of the Ancient Fang,Kamigawa: Neon Dynasty,0.02,0.03
Heir of the Wilds,Khans of Tarkir,0.07,0.49
Heirs of Stromkirk,Avacyn Restored,0.05,5.98
Hekma Sentinels,Amonkhet,0.01,0.13
Helbrute,"Warhammer 40,000 Commander",0.10,
"Helga, Skittish Seer",Bloomburrow,2.01,2.09
Helica Glider,Ikoria: Lair of Behemoths,0.02,0.14
"Heliod, God of the Sun",Commander Masters,0.70,
Heliod's Emissary,Theros,0.09,0.35
Heliod's Intervention,Outlaws of Thunder Junction Commander,1.36,
Heliod's Pilgrim,Theros Beyond Death,0.07,0.21
Heliod's Punishment,Theros Beyond Death,0.06,0.30
"Heliod, Sun-Crowned",Commander Masters,11.81,12.26
"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",March of the Machine,1.43,1.83
Helionaut,Apocalypse,0.09,0.47
Heliophial,Fifth Dawn,0.04,0.53
HELIOS One,Fallout,0.24,2.72
Helium Squirter,Ravnica: Clue Edition,0.05,
Helix Pinnacle,Eventide,9.88,31.47
Hell-Bent Raider,Torment,0.29,2.19
Hellcarver Demon,Rise of the Eldrazi,5.43,15.64
Helldozer,Planechase,0.80,
Hellfire,Masters Edition III,,
Hellfire Mongrel,Duel Decks: Ajani vs. Nicol Bolas,0.07,
Hellhole Flailer,Return to Ravnica,0.10,0.51
Hellhole Rats,Dissension,2.68,1.07
Hellion Crucible,Magic 2013,0.22,1.26
Hellion Eruption,Planechase Anthology,0.19,
Hellish Rebuke,Forgotten Realms Commander,2.95,
Hellkite Charger,Commander Masters,1.38,1.66
Hellkite Courser,Commander Legends,12.13,13.34
Hellkite Hatchling,Planechase Anthology,0.25,
Hellkite Igniter,March of the Machine Commander,0.15,
Hellkite Overlord,Double Masters 2022,0.48,0.59
Hellkite Punisher,Core Set 2021,0.08,0.23
Hellkite Tyrant,The List,,
Hellkite Whelp,Guilds of Ravnica,0.05,0.46
Hell Mongrel,Modern Horizons 2,0.02,0.10
Hellraiser Goblin,Duel Decks: Speed vs. Cunning,0.21,
Hellrider,Jumpstart,3.16,
Hell's Caretaker,Masters 25,2.88,3.64
Hellspark Elemental,Duel Decks: Sorin vs. Tibalt,0.14,
Hellspur Brute,Outlaws of Thunder Junction,0.03,0.08
Hellspur Posse Boss,Outlaws of Thunder Junction,0.15,0.29
Hell's Thunder,Duel Decks: Speed vs. Cunning,0.27,
Hell Swarm,Legends,0.39,
Hell to Pay,Outlaws of Thunder Junction,0.36,0.37
Helm of Awakening,Dominaria Remastered,0.85,0.87
Helm of Chatzuk,Fifth Edition,0.34,
Helm of Kaldra,Fifth Dawn,3.37,24.99
Helm of Obedience,Masters Edition II,,
Helm of Possession,Tempest,5.37,
Helm of the Ghastlord,Shadowmoor,0.22,6.49
Helm of the Gods,Magic Origins,2.71,9.07
Helm of the Host,Dominaria,7.50,19.22
Helpful Hunter,Foundations,0.22,0.27
Helping Hand,The Lost Caverns of Ixalan,1.64,0.41
Helvault,Dark Ascension,0.25,0.61
Hematite Golem,Mirrodin,0.11,
Hematite Talisman,Ice Age,0.23,
Hemlock Vial,Assassin's Creed,0.04,0.06
Henchfiend of Ukor,Time Spiral Remastered,0.11,0.15
Hengegate Pathway // Mistgate Pathway,Kaldheim,4.60,5.45
Henge Guardian,Duel Decks: Knights vs. Dragons,0.20,
Henge of Ramos,Mercadian Masques,0.23,7.98
Henge Walker,Throne of Eldraine,0.07,0.03
"Henrika Domnathi // Henrika, Infernal Seer",Innistrad: Crimson Vow,0.54,1.22
"Henry Wu, InGen Geneticist",Jurassic World Collection,0.42,0.71
"Henzie ""Toolbox"" Torre",New Capenna Commander,0.90,0.28
Heraldic Banner,Foundations,0.21,0.31
Herald of Anafenza,Khans of Tarkir,0.16,0.32
Herald of Anguish,Aether Revolt,1.07,1.76
Herald of Dromoka,Dragons of Tarkir,0.05,1.02
Herald of Eternal Dawn,Foundations,1.57,1.95
Herald of Faith,Foundations,0.43,
Herald of Hadar,Adventures in the Forgotten Realms,0.10,0.13
Herald of Hoofbeats,March of the Machine Commander,1.16,
Herald of Ilharg,Ravnica: Clue Edition,4.42,
Herald of Kozilek,Battle for Zendikar,0.84,13.23
Herald of Leshrac,Coldsnap,5.47,14.27
Herald of Secret Streams,The Lost Caverns of Ixalan Commander,5.23,
Herald of Serra,Urza's Saga,3.13,
Herald of Slaanesh,"Warhammer 40,000 Commander",5.61,
Herald of the Dreadhorde,War of the Spark,0.06,0.42
Herald of the Fair,Kaladesh,0.01,0.05
Herald of the Forgotten,Commander 2020,0.12,
Herald of the Host,Commander Masters,0.18,0.26
Herald of the Pantheon,Commander Masters,1.73,
Herald of the Sun,Core Set 2020,0.08,0.27
Herald of Torment,Born of the Gods,0.17,0.61
Herald of War,Midnight Hunt Commander,4.78,
Herald's Horn,The Lost Caverns of Ixalan Commander,4.43,
Heralds of Tzeentch,"Warhammer 40,000 Commander",0.23,
Herbal Poultice,Lorwyn,0.23,4.77
Herbology Instructor // Malady Invoker,March of the Machine,0.06,0.09
Herd Baloth,Modern Horizons 2,0.30,0.83
Herdchaser Dragon,Dragons of Tarkir,0.10,0.90
Herd Gnarr,Time Spiral,0.06,0.24
Herd Migration,Dominaria United,0.22,0.19
Heretic's Punishment,Innistrad,0.18,0.26
"Herigast, Erupting Nullkite",Modern Horizons 3,0.83,1.02
Heritage Druid,Eternal Masters,2.52,4.29
Hermetic Study,Dominaria Remastered,0.05,0.07
Hermit Druid,Tempest Remastered,,
Hermitic Nautilus,The Lost Caverns of Ixalan,0.04,0.04
Hermit of the Natterknolls // Lone Wolf of the Natterknolls,Shadows over Innistrad,0.30,7.64
Heroes' Bane,Foundations,0.24,
Heroes of the Revel,Theros Beyond Death,0.03,0.09
Heroes' Podium,Dominaria United Commander,0.20,
Heroes Remembered,Planar Chaos,1.07,7.49
Heroes' Reunion,Return to Ravnica,0.08,0.25
Heroic Charge,Dominaria United,0.04,0.04
Heroic Defiance,Planeshift,0.10,0.29
Heroic Intervention,Commander Masters,11.74,12.15
Heroic Reinforcements,Foundations,0.04,0.07
Heroism,Fallen Empires,0.12,
Heronblade Elite,Midnight Hunt Commander,1.55,
Heron-Blessed Geist,Innistrad: Crimson Vow,0.03,0.04
Heron of Hope,Innistrad: Crimson Vow,0.02,0.05
Heron's Grace Champion,Midnight Hunt Commander,0.09,
Hero of Bladehold,March of the Machine Commander,4.43,
Hero of Bretagard,Kaldheim Commander,0.17,
Hero of Goma Fada,Battle for Zendikar,0.13,0.25
Hero of Iroas,Ultimate Masters,0.63,0.83
Hero of Leina Tower,Ultimate Masters,0.04,0.10
Hero of Oxid Ridge,Mirrodin Besieged,0.76,25.55
Hero of Precinct One,Dominaria United Commander,0.19,
Hero of the Dunes,The Brothers' War,0.10,0.11
Hero of the Games,Double Masters 2022,0.02,0.01
Hero of the Nyxborn,Theros Beyond Death,0.07,0.24
Hero of the Pride,Theros Beyond Death,0.03,0.17
Hero of the Winds,Theros Beyond Death,0.03,0.12
Hero's Blade,Commander Masters,0.12,0.22
Hero's Demise,Betrayers of Kamigawa,1.01,3.25
Hero's Downfall,Foundations,0.05,0.12
Hero's Heirloom,Dominaria United,0.14,0.24
Hero's Resolve,Classic Sixth Edition,0.25,
Hesitation,Stronghold,0.25,
Hewed Stone Retainers,Fate Reforged,0.11,0.24
He Who Hungers,Champions of Kamigawa,0.47,4.54
Hew the Entwood,The Lord of the Rings: Tales of Middle-earth,0.23,0.44
Hex,Outlaws of Thunder Junction Commander,0.23,
Hexavus,The Brothers' War Commander,0.26,
Hexbane Tortoise,Dominaria United,0.01,0.04
Hexdrinker,Modern Horizons,4.25,9.56
Hexgold Halberd,Phyrexia: All Will Be One,0.05,0.14
Hexgold Hoverwings,Phyrexia: All Will Be One,0.03,0.11
Hexgold Slash,Phyrexia: All Will Be One,0.01,0.04
Hexgold Slith,Modern Horizons 3,0.02,0.03
Hexmark Destroyer,"Warhammer 40,000 Commander",0.14,
Hex Parasite,New Phyrexia,7.27,17.76
Hexplate Golem,Battlebond,0.04,0.10
Hexplate Wallbreaker,Phyrexia: All Will Be One Commander,8.48,
Hezrou // Demonic Stench,Commander Legends: Battle for Baldur's Gate,0.06,0.05
Hibernation,Eighth Edition,0.41,
Hibernation's End,Coldsnap,0.86,10.12
Hibernation Sliver,Commander Masters,0.37,
Hickory Woodlot,Mercadian Masques,3.70,23.99
Hidden Ancients,Urza's Saga,0.16,
Hidden Blade,Assassin's Creed,0.12,0.14
Hidden Cataract,The Lost Caverns of Ixalan,0.04,0.09
Hidden Courtyard,The Lost Caverns of Ixalan,0.06,0.07
Hidden Dragonslayer,Murders at Karlov Manor Commander,0.07,
Hidden Footblade,Assassin's Creed,0.06,0.12
Hidden Gibbons,Urza's Legacy,3.37,35.34
Hidden Grotto,Bloomburrow,0.08,0.14
Hidden Guerrillas,Urza's Saga,0.36,
Hidden Herbalists,Aether Revolt,0.04,0.35
Hidden Herd,Urza's Saga,0.49,
Hidden Horror,Tenth Edition,0.10,
Hidden Necropolis,The Lost Caverns of Ixalan,0.05,0.09
Hidden Nursery,The Lost Caverns of Ixalan,0.03,0.07
Hidden Path,The Dark,7.62,
Hidden Predators,Urza's Saga,0.42,
Hidden Retreat,Stronghold,1.08,
Hidden Spider,Urza's Saga,0.20,
Hidden Stag,Urza's Saga,0.35,
Hidden Stockpile,Double Masters,0.16,0.26
Hidden Strings,Dragon's Maze,0.21,7.13
Hidden Volcano,The Lost Caverns of Ixalan,0.08,0.13
Hide in Plain Sight,Murders at Karlov Manor,0.13,0.16
Hideous End,Duel Decks: Nissa vs. Ob Nixilis,0.04,
Hideous Laughter,Champions of Kamigawa,0.18,0.49
Hideous Taskmaster,Modern Horizons 3 Commander,0.91,
Hideous Visage,Magic 2012,0.07,0.22
Hide // Seek,Dissension,1.87,11.99
Hidetsugu and Kairi,March of the Machine,0.23,0.28
Hidetsugu Consumes All // Vessel of the All-Consuming,Kamigawa: Neon Dynasty,0.76,0.71
"Hidetsugu, Devouring Chaos",Kamigawa: Neon Dynasty,0.12,0.20
Hidetsugu's Second Rite,Foundations,0.04,0.10
Hieroglyphic Illumination,Commander 2020,0.08,
Hieromancer's Cage,Core Set 2019,0.10,0.25
Hierophant Bio-Titan,"Warhammer 40,000 Commander",0.37,
Hierophant's Chalice,Ixalan,0.06,0.34
High Alert,Ravnica Allegiance,0.30,4.28
Highborn Ghoul,Dark Ascension,0.08,0.27
Highborn Vampire,Zendikar Rising,0.06,0.04
Highcliff Felidar,Game Night 2019,,2.71
High Fae Negotiator,Wilds of Eldraine,0.03,0.07
High Fae Trickster,Foundations,1.33,2.85
High Ground,Tenth Edition,0.19,0.58
Highland Berserker,Zendikar,0.06,0.49
Highland Forest,Commander Legends: Battle for Baldur's Gate,0.42,
Highland Game,Core Set 2019,0.04,0.13
Highland Giant,Portal,0.16,
Highland Lake,Commander 2019,0.08,
Highland Weald,Coldsnap,0.25,11.12
High Market,Forgotten Realms Commander,4.16,
High Noon,Outlaws of Thunder Junction,1.17,1.77
High Priest of Penance,Commander Legends: Battle for Baldur's Gate,0.10,
High-Rise Sawjack,Streets of New Capenna,0.02,0.07
High Seas,Mercadian Masques,0.17,3.00
High Sentinels of Arashin,March of the Machine Commander,0.12,
High-Society Hunter,Foundations,0.55,0.47
High-Speed Hoverbike,Kamigawa: Neon Dynasty,0.09,0.16
Highspire Artisan,Kaladesh,0.02,0.19
Highspire Infusion,Aether Revolt,0.02,0.25
Highspire Mantis,Khans of Tarkir,0.06,0.07
High Stride,Bloomburrow,0.02,0.08
High Tide,Dominaria Remastered,0.58,0.77
Hightide Hermit,Kaladesh,0.03,0.28
Highway Robber,Duel Decks: Jace vs. Vraska,0.07,
Highway Robbery,Outlaws of Thunder Junction,0.10,0.22
"Higure, the Still Wind",Planechase Anthology,7.40,
Hijack,Ixalan,0.03,0.39
"Hikari, Twilight Guardian",Modern Masters 2015,0.07,0.21
Hillcomber Giant,Modern Masters,0.08,0.25
Hill Giant,Tenth Edition,0.15,
Hill Giant Herdgorger,Adventures in the Forgotten Realms,0.02,0.07
"Hinata, Dawn-Crowned",Kamigawa: Neon Dynasty,0.14,0.21
Hinder,Double Masters,0.20,0.22
Hindering Light,Shards of Alara,0.27,1.19
Hindering Touch,Scourge,0.09,0.44
Hindervines,March of the Machine Commander,0.05,
Hinterland Drake,Aether Revolt,0.03,
Hinterland Harbor,Duskmourn: House of Horror Commander,0.79,
Hinterland Hermit // Hinterland Scourge,Dark Ascension,0.08,0.25
Hinterland Logger // Timber Shredder,Shadows over Innistrad,0.07,0.32
Hinterland Sanctifier,Foundations,0.87,
Hint of Insanity,Odyssey,0.27,0.93
Hipparion,Fifth Edition,0.10,
Hired Blade,Core Set 2019,0.02,0.20
Hired Claw,Bloomburrow,4.57,3.86
Hired Giant,Mercadian Masques,0.31,14.47
Hired Hexblade,Adventures in the Forgotten Realms,0.02,0.03
Hired Muscle // Scarmaker,Betrayers of Kamigawa,0.21,0.39
Hired Poisoner,Guilds of Ravnica,0.09,0.56
Hired Torturer,Dragon's Maze,0.07,0.25
"Hisoka, Minamo Sensei",Champions of Kamigawa,0.28,0.32
Hisoka's Defiance,Champions of Kamigawa,0.13,0.24
Hisoka's Guard,Champions of Kamigawa,0.12,0.19
Hissing Iguanar,Double Masters 2022,0.10,0.11
Hissing Miasma,Guildpact,3.63,10.64
Hissing Quagmire,Oath of the Gatewatch,0.69,1.91
Historian of Zhalfir,Core Set 2021,0.19,
Historian's Boon,Dominaria United Commander,2.63,4.13
Historian's Wisdom,Kamigawa: Neon Dynasty,0.02,0.06
History of Benalia,Dominaria,0.76,4.21
Hitchclaw Recluse,Guilds of Ravnica,0.04,0.32
Hithlain Knots,The Lord of the Rings: Tales of Middle-earth,0.05,0.17
Hithlain Rope,Tales of Middle-earth Commander,0.24,
Hit // Run,Dissension,0.24,2.99
Hit the Mother Lode,The Lost Caverns of Ixalan,0.32,0.33
Hiveheart Shaman,Innistrad: Crimson Vow,0.07,0.14
Hive Mind,Magic 2010,8.32,15.58
Hive of the Eye Tyrant,Adventures in the Forgotten Realms,1.16,1.66
Hivespine Wolverine,Bloomburrow,0.05,0.05
Hive Stirrings,Magic 2014,0.14,0.82
Hivestone,Time Spiral Remastered,0.19,0.69
Hivis of the Scale,Mirage,3.44,
"Hixus, Prison Warden",Magic Origins,0.12,0.19
Hoarder's Greed,Lorwyn,0.30,2.69
Hoarder's Overflow,Bloomburrow,0.05,0.05
Hoard Hauler,Streets of New Capenna,0.24,0.38
Hoarding Broodlord,March of the Machine,2.06,2.22
Hoarding Dragon,Foundations,0.12,
Hoarding Ogre,Commander Legends: Battle for Baldur's Gate,0.07,0.15
Hoarding Recluse,The Brothers' War,0.06,0.11
Hoard Robber,Adventures in the Forgotten Realms,0.07,0.15
Hoard-Smelter Dragon,Forgotten Realms Commander,0.14,
Hoar Shade,Ice Age,0.14,
Hobbit's Sting,The Lord of the Rings: Tales of Middle-earth,0.06,0.12
Hobble,Planeshift,0.23,1.12
Hobblefiend,Core Set 2021,0.03,0.22
Hobbling Zombie,Innistrad: Midnight Hunt,0.05,0.08
Hobgoblin Bandit Lord,Adventures in the Forgotten Realms,4.29,3.40
Hobgoblin Captain,Adventures in the Forgotten Realms,0.02,0.08
Hobgoblin Dragoon,Eventide,0.12,0.25
Hofri Ghostforge,Strixhaven: School of Mages,0.85,1.51
"Hogaak, Arisen Necropolis",Modern Horizons,1.05,10.33
